NUM,EXPECTED,model_epoch_02_gs_49168_beam_width_1,# characters,edit distance
1,ずっと先のことだけどね,ずっと先のことだけどね,11,0
2,おなか減って死にそうだよ,お腹返って氏にそうだよ,12,4
3,水野先生がおっしゃったように,水の先生がおっしゃったように,14,1
4,治療法が見つかるかもしれない,治療法が見つかるかもしれない,14,0
5,お母さん代わってあげられなくてごめんね,お母さんかわってあげられなくてごめんね,19,1
6,お前がそんなことでどうすんだよ,お前がそんなことでどうすんだよ,15,0
7,あいつはそんなヤワじゃねえよ,相つはそんなやわじゃねえよ,14,4
8,あいつが折れそうになったら,相津が折れそうになったら,13,3
9,弘樹もここしょうゆついてる,広きもここしょゆついてる,13,3
10,わたしの世界はまるで変わってしまった,私の世界はまるで変わってしまった,18,3
11,後ろから答案用紙集めて,後ろからとうあん用紙集めて,11,4
12,今年遊んどかないともう遊べないよ,今年遊Uからいともう遊べないよ,16,3
13,アクアトピアに乗りたい,悪あとピアニノリタイ,11,9
14,女ってよくしゃべんなあと思って,女って良くしゃべんなあと思って,15,1
15,カメの餌やりとか金魚の餌やりとか,亀の餌やりとか金魚の栄やりとか,16,3
16,そんなの誰かに頼めばいいじゃない,そんなの誰かに頼めばいいじゃない,16,0
17,薬の効果やリハビリの方法を,薬の効果やリハビリの方法を,13,0
18,確認したいと思ってます,確認したいと思ってます,11,0
19,こんなふうに毎日少しずつ,こんな風に毎日少しずつ,12,2
20,何かができなくなっていくの,何かができなくなっていくの,13,0
21,目を閉じて次の日が来るのがこわい,目を閉じて次の日が来るのが怖い,16,2
22,朝が来て悪くなってるかもしれないと,朝が来て悪くなってるかもしれないと,17,0
23,でもお父さんが聞いたら大変だね,でもお倒さんが聞いたら大変だね,15,1
24,だってわたし病気になっちゃったでしょ,だって私病気になっちゃったでしょ,18,3
25,だから先輩にも迷惑かけちゃうかも,だから先輩にも迷惑かけちゃうかも,16,0
26,不公平なことをしようとしてるのは,不幸へいなことをしようとしてるのは,16,3
27,花火大会ぐらい一緒に行くでしょ,花美大会グライイッショに行くでしょ,15,8
28,できること自分から投げ出すなんて,できること自分から投げ出すなんて,16,0
29,神様は不公平だなんて言った,神様は不幸へいだなんて言った,13,3
30,浴衣着て髪アップにしたら,浴かたきてかみアップにしたら,12,5
31,先輩きっとびっくりするわよ,先輩きっとびっくりするわよ,13,0
32,お母さんの後光が見えてきたような気がする,お母さんのごこうが見えてきたような気がする,20,3
33,わたしは自分を信じて行動すればいい,私は自分を信じて行動すればいい,17,3
34,やっぱ夏は浴衣とスイカと,やっぱなつは浴衣とスイカト,12,3
35,お友達もみんなついてるし,お友達もみんな付いてるし,12,1
36,見つける必要があります,見つける必要があります,11,0
37,夏休みを利用して検査のための,夏休みを利用して検査のための,14,0
38,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,効果には個人差があるので,効果には個人差があるので,12,0
40,少し長くなるかもしれないから,少し長くなるかもしれないから,14,0
41,お前たちもう遅いから寝なさい,お前立も重素からねなさい,14,6
42,周りが目に入らなかったんだよ,周りが目に入らなかったんだよ,14,0
43,リハビリを担当する田辺です,リハビリを担当するたなべです,13,3
44,ショックも考えてみろよ,ショックも考えてみろよ,11,0
45,患者も医師も治療に専念する,患者も石も治療に戦年する,13,4
46,すぐお見舞い行かなきゃ,すぐおみまいいかなキャ,11,5
47,クラスのみんなに声かける,クラスのみんなにこえかける,12,2
48,亜湖お母さん夕方病院寄ってくるから,あこお母さん夕がた病院よってくるから,17,5
49,遅くなると思うんだけど,遅くなると思うんだけど,11,0
50,なるべく早く帰るようにはするけど,なるべく早く帰えるようにはするけど,16,1
51,わたしマミと約束あるんだから,私豆と約束あるんだから,14,5
52,今は家族が一致団結して,今は家族が一致段結して,11,1
53,ガトーボヌールのケーキだ,がトUボヌUルのケUキだ,12,4
54,一応人数分買ってあるわよ,一応人数分かってあるわよ,12,1
55,麻生君に会いたくて来たのにね,麻多空に相宅的たのにね,14,8
56,一応声はかけたんっすけどね,一応声はかけ単っすけどね,13,2
57,何か感じが変わっちゃった,何か感じが川っちゃった,12,2
58,今度は捕まんないようにしろよ,今度はつかまんないように白よ,14,4
59,途中まで一緒にいたんだけど,途中まで一緒にいたんだけど,13,0
60,次の日川島で発見されたの,次の日代と腕発見されたの,12,3
61,あんまり信用してないらしい,あんまり深用してないらしい,13,1
62,友達来てくれてよかったわね,友達決てくれてよかったわね,13,1
63,こんなにたくさんもらっちゃった,こんなにたくさんもらっちゃった,15,0
64,動いてくると思いますけれども,動いてくると思いますけれども,14,0
65,両手を上げて手のひらを上にして,両手を挙げてての皮らを上にして,15,3
66,デートに行けるとなったら,デUトに行けるとなったら,12,1
67,そんなことないですって,そんなことないですって,11,0
68,今できること頑張るって決めたんだ,今できることがんばるって決めたんだ,16,3
69,原因不明の神経変性疾患,原因不明の新経編性率感,11,4
70,じゃあ結局今日の池内との,じゃあ結局教の池内との,12,2
71,どうしようかと思ってさ,どうしようかと思ってさ,11,0
72,せっかくの誕生日の日に,せっかくの誕生日の日に,11,0
73,さっき病院に電話きてた,昨季病院に電話来てた,11,4
74,メスは餌を探しに出るんだけど,メスはエサを探しに出るんだけど,14,2
75,その間どんなに腹減っても,その間どんなに腹減っても,12,0
76,ずっと卵守って待ってんだよ,ずっと卵もってまってんだよ,13,2
77,本当は先輩は来ないかもって思ってた,本当は先輩はこないかもって思ってた,17,1
78,何言ってるか分かんなくなっちゃうんだって,何にってるかわかんなくなっちゃうんだって,20,2
79,最後には寝たきりになって,最後にはねたきりになって,12,1
80,その人物は派手なパンクファッションに,その人物ははでなパンクファッションに,18,2
81,身を包んでいたそうですが,身をつつんでいたそうですが,12,2
82,まさにあんな感じでした,まさにあんな感じでした,11,0
83,記憶には自信があるんです,記憶には自信があるんです,12,0
84,先ほどあなたが見たのは,先ほどあなたが見たのは,11,0
85,さっき記憶には自信があると,さっきき奥には自信があると,13,2
86,自信がなくなってきました,自信がなくなってきました,12,0
87,でも見てみたかったわね,でも見てみたかったわね,11,0
88,いろいろ教えてくださいね,色々教えてくださいね,12,4
89,事務所の経営に貢献してくださいね,事務所の経営に貢献してくださいね,16,0
90,それはいいじゃないですか,それはいいじゃないですか,12,0
91,協力したのは私たちです,協力したのは私達です,11,2
92,私も協力をお願いされたら,私も協力をお願いされたら,12,0
93,カツラぐらいは被りましたよ,かつらぐらいはこう無りましたよ,13,6
94,私もちょっとは協力しました,私もちょっとは協力しました,13,0
95,こういう時はじゃんけんでしょ,こういうときはじゃん件でしょ,14,4
96,宮田さんじゃんけんに勝てて,宮田さんじゃん楽に勝てて,13,2
97,思いっきりのんびりしちゃいましょ,思いっきりのんびりしちゃいましょ,16,0
98,とりあえずお風呂入りましょうね,とりあえずお風呂入りましょうね,15,0
99,恐ろしい殺人事件が起きる事など,恐ろしい殺人事件が起きることなど,15,2
100,のんびりしようって言いましたよね,のんびりしようっていいましたよね,16,1
