NUM,EXPECTED,model_epoch_01_gs_12292_beam_width_1,# characters,edit distance
1,ずっと先のことだけどね,ずっと先のことだけどね,11,0
2,おなか減って死にそうだよ,お中へってしにそうだよ,12,4
3,水野先生がおっしゃったように,水の先生がおっしゃったように,14,1
4,治療法が見つかるかもしれない,父量法に見つかるかもしれない,14,3
5,お母さん代わってあげられなくてごめんね,おかあさんかわって上げられなくてご面ね,19,6
6,お前がそんなことでどうすんだよ,お前がそんなことでどうスンだよ,15,2
7,あいつはそんなヤワじゃねえよ,アイツはそんなやわじじねよ,14,7
8,あいつが折れそうになったら,アイツがおれそうになったら,13,4
9,弘樹もここしょうゆついてる,広気もここしうゆ付いてる,13,4
10,わたしの世界はまるで変わってしまった,私の世界はまるで変わってしまった,18,3
11,後ろから答案用紙集めて,うしろから登案要資厚めて,11,6
12,今年遊んどかないともう遊べないよ,今年あんどどないともうな遊べないよ,16,3
13,アクアトピアに乗りたい,アクアトピアに乗りたい,11,0
14,女ってよくしゃべんなあと思って,女ってよく社弁なあと思って,15,4
15,カメの餌やりとか金魚の餌やりとか,カメの餌やりが金金を増さやりとか,16,5
16,そんなの誰かに頼めばいいじゃない,そんなの誰かにたのメバイイじゃない,16,6
17,薬の効果やリハビリの方法を,くすりの高化やりはビリの方法を,13,7
18,確認したいと思ってます,確認したいと思ってます,11,0
19,こんなふうに毎日少しずつ,こんな風に毎日少しずつ,12,2
20,何かができなくなっていくの,何かができなくなっていくの,13,0
21,目を閉じて次の日が来るのがこわい,目をと自手議の被較るのが怖い,16,9
22,朝が来て悪くなってるかもしれないと,朝が来てわるくなってるかもしれないと,17,2
23,でもお父さんが聞いたら大変だね,でもお倒さんが気いたら大変だね,15,2
24,だってわたし病気になっちゃったでしょ,だって私病気になっちゃったでしょ,18,3
25,だから先輩にも迷惑かけちゃうかも,だから先輩にも名分かかけちゃうかも,16,3
26,不公平なことをしようとしてるのは,不稿へいなことを使用としてるのは,16,6
27,花火大会ぐらい一緒に行くでしょ,花美体会ぐらい一緒に行くでしょ,15,2
28,できること自分から投げ出すなんて,できること自分から長出すなんて,16,2
29,神様は不公平だなんて言った,髪様は不高へ打だなんていった,13,5
30,浴衣着て髪アップにしたら,ゆかたきて書みアップにしたら,12,6
31,先輩きっとびっくりするわよ,先輩きっとビックリスルをよ,13,7
32,お母さんの後光が見えてきたような気がする,おかあさんの後工が見えてきたような気がする,20,3
33,わたしは自分を信じて行動すればいい,私は自分を信じて公道すればいい,17,5
34,やっぱ夏は浴衣とスイカと,やっぱなつはゆかたと水かと,12,8
35,お友達もみんなついてるし,音も打ちちも民夏いてるし,12,8
36,見つける必要があります,見つける必要があります,11,0
37,夏休みを利用して検査のための,夏休みを利用して検査のための,14,0
38,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,効果には個人差があるので,高化には個人さがあるので,12,3
40,少し長くなるかもしれないから,少しな学なるかもしれないから,14,2
41,お前たちもう遅いから寝なさい,今値立もうお思いからねなさい,14,7
42,周りが目に入らなかったんだよ,まわりが目に入らなかったんだよ,14,2
43,リハビリを担当する田辺です,リハビリを担当するたなせです,13,3
44,ショックも考えてみろよ,ショックも考えてみろよ,11,0
45,患者も医師も治療に専念する,感者もいしもち小由に戦念する,13,7
46,すぐお見舞い行かなきゃ,すぐおみまいいかな旅,11,5
47,クラスのみんなに声かける,クラスのみんなにこえかける,12,2
48,亜湖お母さん夕方病院寄ってくるから,あこおかあさん有型ケU囲布付ってくるから,17,11
49,遅くなると思うんだけど,お足なると思うんだけど,11,2
50,なるべく早く帰るようにはするけど,なるべくは約下えるようにはするけど,16,4
51,わたしマミと約束あるんだから,私島と約束あるんだから,14,5
52,今は家族が一致団結して,今は家族が一打団決して,11,2
53,ガトーボヌールのケーキだ,がトUボンUルのケUキだ,12,5
54,一応人数分買ってあるわよ,一応人数分かってあるわよ,12,1
55,麻生君に会いたくて来たのにね,麻生空に合いたく的たのにね,14,4
56,一応声はかけたんっすけどね,一道声はかけたん出けけどね,13,3
57,何か感じが変わっちゃった,何か感じが変わっちゃった,12,0
58,今度は捕まんないようにしろよ,今度はつか万内容に知ろよ,14,8
59,途中まで一緒にいたんだけど,と中まで一緒にいたんだけど,13,1
60,次の日川島で発見されたの,次の日書徒統は発見されたの,12,4
61,あんまり信用してないらしい,アンマリシン用してないらしい,13,6
62,友達来てくれてよかったわね,とも打ちききてくれてよかったわね,13,6
63,こんなにたくさんもらっちゃった,こんなにたくさんもらっちゃった,15,0
64,動いてくると思いますけれども,動いてくると思いますけれども,14,0
65,両手を上げて手のひらを上にして,両手を挙げて手の開わを上にして,15,3
66,デートに行けるとなったら,デUトに行けるとなったら,12,1
67,そんなことないですって,そんなことないですって,11,0
68,今できること頑張るって決めたんだ,今できること頑張るって決めたんだ,16,0
69,原因不明の神経変性疾患,原因不明の新系編正しく間,11,7
70,じゃあ結局今日の池内との,ジャアケッ曲行の行け方との,12,10
71,どうしようかと思ってさ,どうしようかと思ってさ,11,0
