NUM,EXPECTED,model_epoch_02_gs_18438_beam_width_1,# characters,edit distance
1,ずっと先のことだけどね,ずっと先のことだけどね,11,0
2,おなか減って死にそうだよ,お中へってしにそうだよ,12,4
3,水野先生がおっしゃったように,水の先生がおっしゃだように,14,3
4,治療法が見つかるかもしれない,地療法が見つかるかもしれない,14,1
5,お母さん代わってあげられなくてごめんね,おかあさん変わって上げられなくてごめんね,19,4
6,お前がそんなことでどうすんだよ,お前がそんなことで同寸だよ,15,4
7,あいつはそんなヤワじゃねえよ,あいつはそんなやわじゃねえよ,14,2
8,あいつが折れそうになったら,アイツがオレそうになったら,13,5
9,弘樹もここしょうゆついてる,広きもここ賞ゆついてる,13,5
10,わたしの世界はまるで変わってしまった,私の世界はまるで変わってしまった,18,3
11,後ろから答案用紙集めて,う白から登案容子重めて,11,6
12,今年遊んどかないともう遊べないよ,今年あんどかないともう遊べないよ,16,1
13,アクアトピアに乗りたい,悪あとピアニのリタイ,11,9
14,女ってよくしゃべんなあと思って,女って良く者弁なあと思って,15,5
15,カメの餌やりとか金魚の餌やりとか,亀女さやりとか金御の餌やりとか,16,5
16,そんなの誰かに頼めばいいじゃない,そんなのだれかにたのメバイイジャナイ,16,12
17,薬の効果やリハビリの方法を,くすりの効果やりはビリの方法を,13,5
18,確認したいと思ってます,確認したいと思ってます,11,0
19,こんなふうに毎日少しずつ,こんな風に毎日少しずつ,12,2
20,何かができなくなっていくの,何かができなくなっていくの,13,0
21,目を閉じて次の日が来るのがこわい,目をとじて次の日がくるのが怖い,16,4
22,朝が来て悪くなってるかもしれないと,朝が来て悪くなってくかもしれないと,17,1
23,でもお父さんが聞いたら大変だね,でもお当さんが聞いたら大変だね,15,1
24,だってわたし病気になっちゃったでしょ,だって私病期になっちゃったでしょ,18,4
25,だから先輩にも迷惑かけちゃうかも,だから戦配にも迷惑かけちゃうかも,16,2
26,不公平なことをしようとしてるのは,不稿へいなことを使用としてるのは,16,6
27,花火大会ぐらい一緒に行くでしょ,花美大会グライイッションにいくでしょ,15,10
28,できること自分から投げ出すなんて,できること自分から投げ出すなんて,16,0
29,神様は不公平だなんて言った,明さまは不高平田なんて言った,13,5
30,浴衣着て髪アップにしたら,床方的磨いップにしたら,12,6
31,先輩きっとびっくりするわよ,先配きっとびっくりするわよ,13,1
32,お母さんの後光が見えてきたような気がする,おかあさんのごこうが見えてきたような気がする,20,5
33,わたしは自分を信じて行動すればいい,私は自分を信じて行動すればいい,17,3
34,やっぱ夏は浴衣とスイカと,やっぱんつはゆかたと水かと,12,8
35,お友達もみんなついてるし,音もだちもみんなついてるし,12,4
36,見つける必要があります,見つける必要があります,11,0
37,夏休みを利用して検査のための,夏休みを利用して検査のための,14,0
38,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,効果には個人差があるので,高化には個人差があるので,12,2
40,少し長くなるかもしれないから,少しな学なるかもしれないから,14,2
41,お前たちもう遅いから寝なさい,お前立ちもうおそいからねなさい,14,4
42,周りが目に入らなかったんだよ,回りが目に入らなかったんだよ,14,1
43,リハビリを担当する田辺です,リはビリを担当するたなべです,13,4
44,ショックも考えてみろよ,ショックも考えてみろよ,11,0
45,患者も医師も治療に専念する,感邪目美味もち料に選念する,13,8
46,すぐお見舞い行かなきゃ,すぐおみまいいかなキャ,11,5
47,クラスのみんなに声かける,クラスのみんなに超えかける,12,2
48,亜湖お母さん夕方病院寄ってくるから,あこおかあさん優が助い員位もってくらから,17,12
49,遅くなると思うんだけど,お即なると思うんだけど,11,2
50,なるべく早く帰るようにはするけど,なるべくは約変えるようにはするけど,16,4
51,わたしマミと約束あるんだから,私島と約束あるんだから,14,5
52,今は家族が一致団結して,今は家族が一弾建して,11,3
53,ガトーボヌールのケーキだ,がトUボヌUルのケUキだ,12,4
54,一応人数分買ってあるわよ,一応人数分かってあるわよ,12,1
55,麻生君に会いたくて来たのにね,麻生くんに合いたく的たのにね,14,5
56,一応声はかけたんっすけどね,一王声はかけたんススケドネ,13,6
57,何か感じが変わっちゃった,何か感じが変わっちゃった,12,0
58,今度は捕まんないようにしろよ,今度はつか万内容に知りよ,14,9
59,途中まで一緒にいたんだけど,と中まで一緒にいたんだけど,13,1
60,次の日川島で発見されたの,次の日書わとうで発見されたの,12,4
61,あんまり信用してないらしい,アンマリシン用してないらしい,13,6
62,友達来てくれてよかったわね,友達きてくれてよかったわね,13,1
63,こんなにたくさんもらっちゃった,こんなにたくさんもらっちゃった,15,0
64,動いてくると思いますけれども,動いてくると思いますけれども,14,0
65,両手を上げて手のひらを上にして,両手を挙げて手の平を上にして,15,3
66,デートに行けるとなったら,デUトに行けるとなったら,12,1
67,そんなことないですって,そんなことないですって,11,0
68,今できること頑張るって決めたんだ,今できることがんばるって決めたんだ,16,3
69,原因不明の神経変性疾患,原因不明の新形編正しく間,11,7
70,じゃあ結局今日の池内との,じゃけきょ極今の移植ちとの,12,8
71,どうしようかと思ってさ,どうしようかと思ってさ,11,0
72,せっかくの誕生日の日に,設穫の誕生日の日に,11,4
