NUM,EXPECTED,model_epoch_03_gs_55314_beam_width_1,# characters,edit distance
1,ずっと先のことだけどね,ずっと先のことだけどね,11,0
2,おなか減って死にそうだよ,お腹返って死にそうだよ,12,3
3,水野先生がおっしゃったように,水の先生がおっしゃったように,14,1
4,治療法が見つかるかもしれない,治療法が見つかるかもしれない,14,0
5,お母さん代わってあげられなくてごめんね,お母さん変わってあげられなくてごめんね,19,1
6,お前がそんなことでどうすんだよ,お前がそんなことで同寸だよ,15,4
7,あいつはそんなヤワじゃねえよ,あいつはそんなやわじゃねえよ,14,2
8,あいつが折れそうになったら,相次が俺そうになったら,13,5
9,弘樹もここしょうゆついてる,広きもここ醤油ついてる,13,6
10,わたしの世界はまるで変わってしまった,私の世界はまるで変わってしまった,18,3
11,後ろから答案用紙集めて,後ろから党案洋子集めて,11,3
12,今年遊んどかないともう遊べないよ,今年あそんどかないともう遊べないよ,16,2
13,アクアトピアに乗りたい,悪あとピアニノリタイ,11,9
14,女ってよくしゃべんなあと思って,女って良く者便なあと思って,15,5
15,カメの餌やりとか金魚の餌やりとか,亀のエサやりとか金魚のエサやりとか,16,6
16,そんなの誰かに頼めばいいじゃない,そんなのだれかに頼めばいいじゃない,16,2
17,薬の効果やリハビリの方法を,薬の効果やリハビリの方法を,13,0
18,確認したいと思ってます,確認したいと思ってます,11,0
19,こんなふうに毎日少しずつ,こんな不婦に毎日少しずつ,12,2
20,何かができなくなっていくの,何かができなくなっていくの,13,0
21,目を閉じて次の日が来るのがこわい,目を閉じて次の日が来るのが怖い,16,2
22,朝が来て悪くなってるかもしれないと,朝が来て悪くなってるかもしれないと,17,0
23,でもお父さんが聞いたら大変だね,でもお父さんが聞いたら大変だね,15,0
24,だってわたし病気になっちゃったでしょ,だって私病気になっちゃったでしょ,18,3
25,だから先輩にも迷惑かけちゃうかも,だから先輩にも迷惑かけちゃうかも,16,0
26,不公平なことをしようとしてるのは,不幸へいなことをしようとしてるのは,16,3
27,花火大会ぐらい一緒に行くでしょ,花火大会グライイッショに行くでしょ,15,7
28,できること自分から投げ出すなんて,できること自分から投げ出すなんて,16,0
29,神様は不公平だなんて言った,神様は不幸へいだなんていった,13,4
30,浴衣着て髪アップにしたら,ゆかたきてかみアップにしたら,12,6
31,先輩きっとびっくりするわよ,先輩きっとびっくりするわよ,13,0
32,お母さんの後光が見えてきたような気がする,お母さんのご厚が見えてきたような気がする,20,2
33,わたしは自分を信じて行動すればいい,私は自分を信じて行動すればいい,17,3
34,やっぱ夏は浴衣とスイカと,やっぱなつは浴衣とすいかと,12,5
35,お友達もみんなついてるし,お友達もみんな付いてるし,12,1
36,見つける必要があります,見つける必要があります,11,0
37,夏休みを利用して検査のための,夏休みを利用して検査のための,14,0
38,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,効果には個人差があるので,効果には個人差があるので,12,0
40,少し長くなるかもしれないから,少し長くなるかもしれないから,14,0
41,お前たちもう遅いから寝なさい,お前たちもう遅いからねなさい,14,1
42,周りが目に入らなかったんだよ,周りが目に入らなかったんだよ,14,0
43,リハビリを担当する田辺です,リハビリを担当するタナベです,13,3
44,ショックも考えてみろよ,ショックも考えてみろよ,11,0
45,患者も医師も治療に専念する,患者もいしも治療に潜念する,13,3
46,すぐお見舞い行かなきゃ,すぐおみまいいかなキャ,11,5
47,クラスのみんなに声かける,クラスのみんなにこえかける,12,2
48,亜湖お母さん夕方病院寄ってくるから,あこお母さん誘うがた病院よってくるから,17,7
49,遅くなると思うんだけど,遅くなると思うんだけど,11,0
50,なるべく早く帰るようにはするけど,なるべく早く買えるようにはするけど,16,2
51,わたしマミと約束あるんだから,私マミと約束あるんだから,14,3
52,今は家族が一致団結して,今は家族が一致旬結して,11,1
53,ガトーボヌールのケーキだ,がトUボグUルのケUキだ,12,5
54,一応人数分買ってあるわよ,一応人数分割ってあるわよ,12,1
55,麻生君に会いたくて来たのにね,麻生くんに相宅的たのにね,14,8
56,一応声はかけたんっすけどね,一応声はかけ単っすけどね,13,2
57,何か感じが変わっちゃった,何か感じが変わっちゃった,12,0
58,今度は捕まんないようにしろよ,今度はつかまんないように白よ,14,4
59,途中まで一緒にいたんだけど,と中まで一緒にいたんだけど,13,1
60,次の日川島で発見されたの,次の日代答で発見されたの,12,2
61,あんまり信用してないらしい,あんまり信用してないらしい,13,0
62,友達来てくれてよかったわね,友達きてくれてよかったわね,13,1
63,こんなにたくさんもらっちゃった,こんなにたくさんもらっちゃった,15,0
64,動いてくると思いますけれども,動いてくると思いますけれども,14,0
65,両手を上げて手のひらを上にして,両手を挙げててのひらを上にして,15,2
66,デートに行けるとなったら,デUトに行けるとなったら,12,1
67,そんなことないですって,そんなことないですって,11,0
68,今できること頑張るって決めたんだ,いまできること頑張るって決めたんだ,16,2
69,原因不明の神経変性疾患,原因不明の新経編成率感,11,5
70,じゃあ結局今日の池内との,じゃあ結局強の池内との,12,2
71,どうしようかと思ってさ,どうしようかと思ってさ,11,0
72,せっかくの誕生日の日に,せっかくの誕生日の日に,11,0
