NUM,EXPECTED,model_epoch_05_gs_36876_beam_width_1,# characters,edit distance
1,ずっと先のことだけどね,ずっと先のことだけどね,11,0
2,おなか減って死にそうだよ,お腹返鉄にそうだよ,12,6
3,水野先生がおっしゃったように,水の先生がおっしゃったように,14,1
4,治療法が見つかるかもしれない,治療法が見つかるかもしれない,14,0
5,お母さん代わってあげられなくてごめんね,お母さんかわってあげられなくてごめんね,19,1
6,お前がそんなことでどうすんだよ,お前がそんなことで同寸だよ,15,4
7,あいつはそんなヤワじゃねえよ,あいつはそんなやわじゃねえよ,14,2
8,あいつが折れそうになったら,相次がおれそうになったら,13,4
9,弘樹もここしょうゆついてる,広きもここしょうゆついてる,13,2
10,わたしの世界はまるで変わってしまった,私の世界はまるで変わってしまった,18,3
11,後ろから答案用紙集めて,後ろから東案洋子集めて,11,3
12,今年遊んどかないともう遊べないよ,今年遊どどかないともう遊べないよ,16,1
13,アクアトピアに乗りたい,悪あとピアに乗りたい,11,4
14,女ってよくしゃべんなあと思って,女って良く者弁なあと思って,15,5
15,カメの餌やりとか金魚の餌やりとか,カメの餌やりとか金魚で餌やりとか,16,1
16,そんなの誰かに頼めばいいじゃない,そんなの誰かに頼めばいいじゃない,16,0
17,薬の効果やリハビリの方法を,薬の高華やりはビリの方法を,13,4
18,確認したいと思ってます,確認したいと思ってます,11,0
19,こんなふうに毎日少しずつ,こんな風に毎日少しずつ,12,2
20,何かができなくなっていくの,何かができなくなっていくの,13,0
21,目を閉じて次の日が来るのがこわい,目を閉じて次の日が来るのが怖い,16,2
22,朝が来て悪くなってるかもしれないと,朝が来て悪くなってるかもしれないと,17,0
23,でもお父さんが聞いたら大変だね,でもお父さんが聞いたら大変だね,15,0
24,だってわたし病気になっちゃったでしょ,だって私病気になっちゃったでしょ,18,3
25,だから先輩にも迷惑かけちゃうかも,だから先輩にも明惑かけちゃうかも,16,1
26,不公平なことをしようとしてるのは,不公へいなことを使用としてるのは,16,5
27,花火大会ぐらい一緒に行くでしょ,花び大会グライイッショに行くでしょ,15,8
28,できること自分から投げ出すなんて,できること自分から投げ出すなんて,16,0
29,神様は不公平だなんて言った,神様は不降閉だなんて言った,13,2
30,浴衣着て髪アップにしたら,床たきてカミアップにしたら,12,5
31,先輩きっとびっくりするわよ,先輩きっとびっくりするわよ,13,0
32,お母さんの後光が見えてきたような気がする,お母さんのごこうが見えてきたような気がする,20,3
33,わたしは自分を信じて行動すればいい,私は自分を信じて行動すればいい,17,3
34,やっぱ夏は浴衣とスイカと,やっぱなつは床と推加と,12,7
35,お友達もみんなついてるし,お友だちもみんな付いてるし,12,3
36,見つける必要があります,見つける必要があります,11,0
37,夏休みを利用して検査のための,夏休みを利用して検査のための,14,0
38,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,効果には個人差があるので,交化には個人差があるので,12,2
40,少し長くなるかもしれないから,少し長くなるかもしれないから,14,0
41,お前たちもう遅いから寝なさい,お前立ちもう遅いからねなさい,14,2
42,周りが目に入らなかったんだよ,周りが目に入らなかったんだよ,14,0
43,リハビリを担当する田辺です,リハビリを担当するタナベです,13,3
44,ショックも考えてみろよ,ショックも考えてみろよ,11,0
45,患者も医師も治療に専念する,患者も医師も治療に戦年する,13,2
46,すぐお見舞い行かなきゃ,すぐおみまいいかなキャ,11,5
47,クラスのみんなに声かける,クラスのみんなに声かける,12,0
48,亜湖お母さん夕方病院寄ってくるから,あこお母さん有がた病院よってくるから,17,6
49,遅くなると思うんだけど,おそくなると思うんだけど,11,2
50,なるべく早く帰るようにはするけど,なるべく早く返るようにはするけど,16,1
51,わたしマミと約束あるんだから,私真人約速あるんだから,14,7
